seed,gps_rmse,ekf_rmse,rejected_gps
338,5.387021617104082,0.2785331869413028,1792
339,5.313029580019006,0.2783002670933649,1756
340,5.30083081495645,0.2784638306520461,1832
341,5.2225852854044446,0.3353219842369179,1827
342,5.2790429922269615,0.3002490792286665,1743
343,5.2314950627223205,0.2777639830999117,1765
344,5.256452385910288,0.27743454197621364,1747
345,5.250429786601402,0.2806844537062244,1780
346,5.352917833997263,0.29317320990415546,1773
347,5.051114796996024,0.2908273898791337,1629
348,5.186833950098976,0.2805456010314936,1703
349,5.103153655548447,21.546273140942734,1911
350,5.3985641209444015,0.2907917802021094,1805
351,5.2778445126702564,0.29508546880785363,1694
352,5.358592097051259,0.28154753082326717,1727
353,5.2592460752811165,0.27862233883214077,1754
354,5.280281137280572,0.2781347814395707,1735
355,5.150100163095189,0.28297286789078435,1687
356,5.187366133007621,0.27715547131371854,1740
357,5.283692112354062,0.2951563430985666,1744
358,5.164189098348122,0.2780248443959554,1745
359,5.3774435630498925,0.2781726106138132,1825
360,5.235560311717903,0.2860367074657094,1778
361,5.419902507883168,0.2794832616541925,1808
362,5.201289699339889,0.28844410498310413,1774
363,5.250918135012609,0.30965054706558676,1729
364,5.2470141398468115,0.27953940241727315,1732
365,5.296095892833448,0.28271966097730905,1789
366,5.167571085108608,0.27910828358368983,1765
367,5.228312182454998,0.27846028305119613,1734
368,5.13277503832276,0.2837202891673092,1679
369,5.31838765403862,0.298735007256091,1761
370,5.1692689806193695,0.27750274407167747,1728
371,5.284310409884179,0.2817880313731946,1755
372,5.355291704546373,0.2788148416654222,1809
373,5.13339583251639,0.2782972956053926,1695
374,5.334392640830654,0.27860677320510224,1733
375,5.2299058114677415,0.27945156902375656,1809
376,5.2482827552600435,8.635054338915038,1873
377,5.294576751749299,0.2834944841182361,1827
378,5.274502069512786,0.2871489993509218,1754
379,5.112719195980119,0.27851612825182587,1697
380,5.313910856446225,0.2895148607171901,1714
381,5.347136597524939,0.2784375633233071,1796
382,5.270866918300676,0.27917420909085366,1743
383,5.223862945138917,0.2774952576160952,1725
384,5.32233634972055,0.2935945597850958,1758
385,5.270567485621525,0.2778733248347319,1751
386,5.258260847435071,0.2776861535878122,1770
387,5.388533760577209,1.7352613603735911,1815
388,5.33293999233014,0.30074524928171337,1773
389,5.172947792859517,1.5666049832013518,1808
390,5.180023250891511,0.2783713945956472,1720
391,5.10790911776903,0.27833431994844554,1709
392,5.24649892033837,0.2791124893318861,1732
393,5.274369607530983,0.3024832888772278,1750
394,5.286329518317949,0.28362380255079594,1779
395,5.19879521324092,0.2784335343333753,1726
